periode,annee,mois,cout_panier_par_personne_htg,premiere_publication_htg,revise,editions,bulletin_retenu,definition,source_id,attribution
2019-01,2019,1,1425,1425,non,7,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2019-02,2019,2,1577,1577,non,7,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2019-03,2019,3,1563,1563.45,oui,6,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2019-04,2019,4,1607,1607.14,oui,6,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2019-05,2019,5,1654,1643.99,oui,6,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2019-06,2019,6,1730,1730.09,oui,6,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2019-07,2019,7,1789,1789,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2019-08,2019,8,1732,1732,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2019-09,2019,9,1698,1698,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2019-10,2019,10,1928,1928,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2019-11,2019,11,2062,2062,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2019-12,2019,12,1982,1982,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2020-01,2020,1,1922,1922,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2020-02,2020,2,1880,1880,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2020-03,2020,3,1960,1960,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2020-04,2020,4,2079,2079,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2020-05,2020,5,2172,2172,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2020-06,2020,6,2233,2233,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2020-07,2020,7,2380,2380,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2020-08,2020,8,2428,2428,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2020-09,2020,9,2128,2128,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2020-10,2020,10,1716,1716,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2020-11,2020,11,1764,1764,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2020-12,2020,12,1826,1826,non,5,Bulletin #5 : Panier alimentaire et conditions de sécurité alimentaire Mai 2023,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2021-01,2021,1,1818,1818,non,7,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2021-02,2021,2,1859,1859,non,7,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2021-03,2021,3,2057,2057,non,7,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2021-04,2021,4,2112,2112,non,7,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2021-05,2021,5,2234,2234,non,6,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2021-06,2021,6,2304,2304,non,6,Bulletin : Panier alimentaire et conditions de sécurité alimentaire Décembre 2024,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
