pcode_commune,nom_commune,nom_commune_ht,operateur,points_de_service,libelles_sources,lecture_du_zero,source_id,source,licence,attribution,date_extraction
HT0434,Caracol,Karakòl,CAM Transfer,4,CARACOL,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0222,Côtes de Fer,Kòtdefè,CAM Transfer,4,COTES DE FER,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0822,Dame Marie,Dam Mari,CAM Transfer,4,DAME-MARIE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0411,Fort-Liberté,Fòlibète,CAM Transfer,4,FORT-LIBERTE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0352,Port-Margot,Pòmago,CAM Transfer,4,PORT-MARGOT,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0732,Saint Louis du Sud,Sen Lwi disid,CAM Transfer,4,SAINT-LOUIS-DU-SUD,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0622,Saut d'Eau,Sodo,CAM Transfer,4,SAUT-D'EAU,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0233,Thiotte,Tiòt,CAM Transfer,4,THIOTTE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0532,Verrettes,Vèrèt,CAM Transfer,4,VERETTES,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT1031,Baradères,Baradè,CAM Transfer,3,BARADERES,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
