indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version,signal_population
IND-POP-004,HTC-0834,HT0834,Pestel,Pestèl,Grande'Anse,28231,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-1022,HT1022,Petit Trou de Nippes,Ti Trou Nip,Nippes,19673,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0122,HT0122,Petit-Goâve,Tigwav,Ouest,121027,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-1012,HT1012,Petite Rivière de Nippes,Ti Rivyè Nip,Nippes,20359,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0542,HT0542,Petite Rivière de l'Artibonite,Ti Rivyè Latibonit,Artibonite,103236,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0344,HT0344,Pignon,Piyon,Nord,28584,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0372,HT0372,Pilate,Pilat,Nord,34025,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0322,HT0322,Plaine du Nord,Plèn dinò,Nord,27170,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0371,HT0371,Plaisance,Plezans,Nord,45373,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-1025,HT1025,Plaisance du Sud,Plezans Disid,Nippes,18568,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0152,HT0152,Pointe à Raquette,Pwent a Rakèt,Ouest,15660,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0352,HT0352,Port-Margot,Pòmago,Nord,31347,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0721,HT0721,Port-Salut,Pò Sali,Sud,14632,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0111,HT0111,Port-au-Prince,Pòtoprens,Ouest,691916,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0911,HT0911,Port-de-Paix,Pòdpè,Nord-Ouest,136260,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0742,HT0742,Port-à-Piment,Pòtapiman,Sud,14322,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0114,HT0114,Pétion-Ville,Petyonvil,Ouest,279278,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0312,HT0312,Quartier Morin,Katye Moren,Nord,19294,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0343,HT0343,Ranquitte,Rankit,Nord,18327,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0743,HT0743,Roche à Bâteau,Ròcha Bato,Sud,14934,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-004,HTC-0832,HT0832,Roseaux,Rozo,Grande'Anse,23316,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0722,HT0722,Saint Jean du Sud,Sen Jan disid.,Sud,20175,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0732,HT0732,Saint Louis du Sud,Sen Lwi disid,Sud,47120,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0921,HT0921,Saint-Louis du Nord,Sen Lwi dinò,Nord-Ouest,73449,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0531,HT0531,Saint-Marc,Sen Mak,Artibonite,182989,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0551,HT0551,Saint-Michel de l'Attalaye,Sen Michèl Latalay,Artibonite,89654,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0341,HT0341,Saint-Raphaël,Sen Rafayèl,Nord,34517,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0432,HT0432,Sainte Suzanne,Sent sizàn,Nord-Est,19289,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0622,HT0622,Saut d'Eau,Sodo,Centre,30815,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0633,HT0633,Savanette,Savanèt,Centre,28467,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0118,HT0118,Tabarre,Taba,Ouest,97466,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0522,HT0522,Terre Neuve,Tènèv,Artibonite,18493,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0433,HT0433,Terrier Rouge,Tèrye rouj,Nord-Est,22212,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0233,HT0233,Thiotte,Tiòt,Sud-Est,26614,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0642,HT0642,Thomassique,Tomasik,Centre,46129,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0132,HT0132,Thomazeau,Tomazo,Ouest,35157,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0613,HT0613,Thomonde,Tomond,Centre,47861,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0753,HT0753,Tiburon,Tibiwon,Sud,16418,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0712,HT0712,Torbeck,Tòbèk,Sud,55999,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0431,HT0431,Trou du Nord,Twou dinò,Nord-Est,35901,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0441,HT0441,Vallières,Valyè,Nord-Est,17540,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-004,HTC-0532,HT0532,Verrettes,Vèrèt,Artibonite,91386,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0716,HT0716,Île à Vache,Ilavach,Sud,9982,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
