enquete,annee,region,pcode_region_enquete,cartographiable,indicateur_id,precision_source,valeur,ic_bas,ic_haut,denominateur_pondere,denominateur_brut
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,AH_CIGA_M_59C,,20.4,,,59,39
EMMUS 2000,2000,Sud,412008,oui,AH_CIGA_M_59C,,17.4,,,36,49
EMMUS 2000,2000,Sud-Est,412003,oui,AH_CIGA_M_59C,,19.7,,,16,29
EMMUS 2012,2012,Aire métropolitaine,412001,oui,AH_CIGA_M_59C,,23.1,,,236,129
EMMUS 2012,2012,Artibonite,412006,oui,AH_CIGA_M_59C,,25.0,,,129,61
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,AH_CIGA_M_59C,,25.4,,,63,125
EMMUS 2012,2012,Centre,412007,oui,AH_CIGA_M_59C,,16.3,,,57,73
EMMUS 2012,2012,Grand'Anse,412010,oui,AH_CIGA_M_59C,,23.3,,,45,88
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_59C,,23.9,,,64,127
EMMUS 2012,2012,Nippes,412011,oui,AH_CIGA_M_59C,,25.3,,,19,39
EMMUS 2012,2012,Nord,412004,oui,AH_CIGA_M_59C,,19.9,,,49,44
EMMUS 2012,2012,Nord-Est,412005,oui,AH_CIGA_M_59C,,32.5,,,18,39
EMMUS 2012,2012,Nord-Ouest,412012,oui,AH_CIGA_M_59C,,19.9,,,31,56
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,AH_CIGA_M_59C,,21.1,,,130,67
EMMUS 2012,2012,Sud,412008,oui,AH_CIGA_M_59C,,24.8,,,39,47
EMMUS 2012,2012,Sud-Est,412003,oui,AH_CIGA_M_59C,,28.8,,,37,52
EMMUS 2016,2016,Aire métropolitaine,412001,oui,AH_CIGA_M_59C,,34.1,,,130,73
EMMUS 2016,2016,Artibonite,412006,oui,AH_CIGA_M_59C,,26.8,,,96,71
EMMUS 2016,2016,Grand'Anse,412010,oui,AH_CIGA_M_59C,,28.4,,,17,33
EMMUS 2016,2016,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_59C,,33.1,,,29,54
EMMUS 2016,2016,Nord-Ouest,412012,oui,AH_CIGA_M_59C,,19.6,,,17,36
EMMUS 2016,2016,Reste de l'Ouest,412002,oui,AH_CIGA_M_59C,,24.0,,,58,30
EMMUS 2016,2016,Sud,412008,oui,AH_CIGA_M_59C,,40.8,,,23,25
EMMUS 2016,2016,Sud-Est,412003,oui,AH_CIGA_M_59C,,21.7,,,20,25
