pcode_commune,commune,departement,sante_min,hopital_min,ecole_min,marche_min,ecoles_declarees,ecoles_vues,ecoles_part_vue_pct,pop_ecart_ratio,part_arbres_pct,part_cultures_pct,part_bati_2020_pct,croissance_bati_pct,pvout_moyen,sante_declaree,sante_publique_declaree,sante_vue_osm,seismes_100km,seisme_max_mag,cyclones_100km,cyclone_vent_max_kmh,pluie_normale_mm,eau_permanente_km2,batiments_nb,familles_a_verifier,ecart_sante,ecart_ecoles,ecart_population
HT0834,Pestel,Grande'Anse,2.0,2.0,0.5,7.0,115,20,17.4,1.2,69.07,0.03,0.379,142.7,1541.9,10,0,8,187,7.2,60,259,2283.8,0.119,9889,1,1.25,5.75,1.2
HT0911,Port-de-Paix,Nord-Ouest,1.7,1.7,1.4,5.8,332,84,25.3,1.06,31.98,1.06,1.609,80.5,1702.6,20,0,21,36,6.61,63,194,738.6,2.18,43047,1,1.05,3.95,1.06
HT0912,La Tortue,Nord-Ouest,2.2,2.2,2.1,25.9,77,8,10.4,1.26,77.08,0.65,0.626,57.2,1748.4,8,0,6,32,6.61,59,194,706.8,0.807,8322,1,1.33,9.62,1.26
HT0913,Bassin Bleu,Nord-Ouest,1.1,1.1,12.5,22.3,46,7,15.2,1.13,47.22,0.17,0.784,64.1,1662.1,4,0,11,36,6.61,61,185,863.0,0.0,9578,1,2.75,6.57,1.13
HT0914,Chamsolme,Nord-Ouest,0.6,0.6,0.8,5.0,38,2,5.3,1.06,67.2,0.44,0.855,69.8,1712.3,1,0,1,32,6.61,57,157,923.7,0.0,3868,1,1.0,19.0,1.06
HT0921,Saint-Louis du Nord,Nord-Ouest,1.2,1.2,3.6,3.9,190,4,2.1,1.08,89.11,0.01,0.73,86.5,1617.5,12,0,16,31,6.61,58,194,1059.0,0.237,16657,1,1.33,47.5,1.08
HT0922,Anse-à-Foleur,Nord-Ouest,0.3,0.7,0.1,0.7,31,14,45.2,1.96,87.34,0.0,0.215,52.9,1598.4,4,0,5,31,6.61,58,194,1426.5,0.087,2955,0,1.25,2.21,1.96
HT0931,Môle Saint Nicolas,Nord-Ouest,3.2,3.2,3.1,13.4,64,10,15.6,1.14,48.97,0.24,0.298,41.5,1709.5,7,0,8,44,6.19,68,222,675.3,0.144,4302,1,1.14,6.4,1.14
HT0932,Baie de Henne,Nord-Ouest,5.0,5.0,29.0,29.0,49,11,22.4,1.08,12.77,0.03,0.264,45.7,1755.5,6,0,7,37,6.19,63,167,581.2,0.037,3764,1,1.17,4.45,1.08
HT0933,Bombardopolis,Nord-Ouest,21.6,21.6,30.9,32.4,57,7,12.3,1.14,58.8,0.02,0.438,107.4,1698.7,6,0,6,41,6.19,59,222,514.4,0.002,5163,1,1.0,8.14,1.14
HT0934,Jean Rabel,Nord-Ouest,2.8,2.8,2.1,11.7,236,12,5.1,1.07,38.29,1.9,0.984,39.9,1681.1,19,0,22,36,6.61,65,167,782.8,0.863,31063,1,1.16,19.67,1.07
HT1011,Miragoâne,Nippes,1.7,1.7,1.7,5.3,237,5,2.1,1.41,54.89,0.76,1.122,206.1,1658.2,7,0,8,200,7.2,55,259,1165.0,7.002,13290,1,1.14,47.4,1.41
HT1012,Petite Rivière de Nippes,Nippes,2.9,2.9,1.4,4.4,57,14,24.6,1.46,64.53,0.06,0.666,202.2,1590.5,3,0,6,211,7.2,50,259,1309.2,0.69,5141,1,2.0,4.07,1.46
HT1013,Fonds des Nègres,Nippes,6.1,6.1,5.0,7.5,129,7,5.4,1.68,55.73,0.14,1.001,323.1,1555.4,4,0,5,212,7.2,53,259,1053.6,0.0,5710,1,1.25,18.43,1.68
HT1014,Paillant,Nippes,4.1,4.1,5.8,5.5,50,2,4.0,3.58,36.86,0.05,1.182,686.8,1611.4,4,0,2,207,7.2,52,259,1233.3,0.0,5818,2,2.0,25.0,3.58
HT1021,Anse-à-Veau,Nippes,6.1,6.1,2.9,5.5,77,7,9.1,1.18,65.99,0.4,0.923,225.1,1601.4,4,0,4,216,7.2,51,259,1203.0,0.103,6256,1,1.0,11.0,1.18
HT1022,Petit Trou de Nippes,Nippes,0.7,0.7,12.2,1.0,68,2,2.9,1.33,71.69,0.01,0.407,132.6,1630.1,1,0,5,212,7.2,54,259,1750.2,0.142,5113,2,5.0,34.0,1.33
HT1023,L'Asile,Nippes,3.7,3.7,3.6,6.6,73,8,11.0,1.27,64.71,0.03,0.939,266.4,1566.6,5,0,11,215,7.2,54,259,1383.5,0.0,5338,1,2.2,9.12,1.27
HT1024,Arnaud,Nippes,2.9,2.9,2.0,5.8,45,2,4.4,1.55,67.75,0.11,0.977,183.3,1620.7,1,0,1,215,7.2,53,259,1478.3,0.0,3932,1,1.0,22.5,1.55
HT1025,Plaisance du Sud,Nippes,14.2,14.2,2.3,1.7,49,12,24.5,1.11,64.2,0.0,0.543,252.8,1575.6,,,1,208,7.2,53,259,1610.4,0.0,3388,2,,4.08,1.11
HT1031,Baradères,Nippes,3.1,3.1,0.8,3.8,70,9,12.9,1.25,80.28,0.0,0.288,137.3,1551.6,3,0,3,201,7.2,56,259,2119.5,0.098,4847,1,1.0,7.78,1.25
HT1032,Grand-Boucan,Nippes,0.6,0.6,0.9,0.4,16,2,12.5,1.39,74.8,0.0,0.22,26.9,1721.3,1,0,2,201,7.2,50,259,1685.9,0.702,757,1,2.0,8.0,1.39
