pcode_commune,commune,departement,sante_min,hopital_min,ecole_min,marche_min,ecoles_declarees,ecoles_vues,ecoles_part_vue_pct,pop_ecart_ratio,part_arbres_pct,part_cultures_pct,part_bati_2020_pct,croissance_bati_pct,pvout_moyen,sante_declaree,sante_publique_declaree,sante_vue_osm,seismes_100km,seisme_max_mag,cyclones_100km,cyclone_vent_max_kmh,pluie_normale_mm,eau_permanente_km2,batiments_nb,familles_a_verifier,ecart_sante,ecart_ecoles,ecart_population
HT0141,Arcahaie,Ouest,1.9,2.5,1.4,3.5,261,178,68.2,1.15,17.93,1.1,1.11,91.8,1734.9,16,0,34,177,7.2,59,241,1076.0,0.033,36683,0,2.12,1.47,1.15
HT0142,Cabaret,Ouest,2.7,2.7,1.4,3.6,224,65,29.0,1.74,17.59,3.46,1.88,150.7,1796.0,12,0,9,163,7,56,241,1276.6,0.015,29581,1,1.33,3.45,1.74
HT0151,Anse à Galets,Ouest,2.2,2.2,2.4,4.3,157,10,6.4,3.88,44.34,0.75,0.908,221.3,1811.8,13,0,6,213,7.2,56,241,863.1,6.413,14161,2,2.17,15.7,3.88
HT0152,Pointe à Raquette,Ouest,19.8,19.8,17.8,49.6,93,1,1.1,1.18,27.55,0.85,0.426,180.9,1782.0,7,0,7,222,7.2,55,241,831.7,6.161,5787,1,1.0,93.0,1.18
HT0211,Jacmel,Sud-Est,3.1,3.3,1.6,4.7,389,166,42.7,1.3,53.94,0.18,1.514,438.6,1662.8,21,0,46,178,7.2,56,241,1128.0,0.02,50652,0,2.19,2.34,1.3
HT0212,Marigot,Sud-Est,1.5,1.5,1.1,3.3,119,54,45.4,1.31,55.22,1.84,0.637,190.3,1561.8,4,0,12,148,7,57,241,1102.0,0.01,11110,0,3.0,2.2,1.31
HT0213,Cayes-Jacmel,Sud-Est,1.1,1.4,0.7,1.8,105,25,23.8,1.33,59.49,0.02,0.985,309.3,1640.5,6,0,10,157,7,55,241,1273.1,0.003,10324,1,1.67,4.2,1.33
HT0214,La Vallée,Sud-Est,13.1,13.1,13.7,36.3,66,12,18.2,1.93,31.16,0.02,1.091,670.6,1629.6,1,0,4,191,7.2,53,241,1201.2,0.0,5617,2,4.0,5.5,1.93
HT0221,Bainet,Sud-Est,15.1,15.3,6.8,16.1,188,21,11.2,1.92,50.87,0.04,0.668,371.0,1731.2,12,0,12,199,7.2,57,241,1138.3,0.001,13100,1,1.0,8.95,1.92
HT0222,Côtes de Fer,Sud-Est,9.6,9.6,14.2,18.6,129,,,1.37,47.17,0.02,0.979,381.3,1711.2,9,0,5,197,7.2,56,259,1008.1,0.007,8641,1,1.8,,1.37
HT0231,Belle-Anse,Sud-Est,5.9,5.9,3.9,2.7,151,11,7.3,1.39,40.9,1.35,0.4,320.1,1619.6,5,0,9,150,7,65,259,939.4,0.072,12629,1,1.8,13.73,1.39
HT0232,Grand Gosier,Sud-Est,3.6,3.6,6.0,11.6,44,8,18.2,1.58,39.14,0.3,0.357,348.1,1607.0,3,0,1,115,7,62,259,778.4,0.053,2404,1,3.0,5.5,1.58
HT0233,Thiotte,Sud-Est,3.2,3.2,4.8,2.8,72,9,12.5,1.42,61.02,0.91,0.522,244.5,1647.9,6,0,7,103,7,62,259,810.8,0.176,5262,1,1.17,8.0,1.42
HT0234,Anse-à-Pître,Sud-Est,1.2,1.2,1.8,1.4,113,3,2.7,4.56,40.61,0.96,0.464,143.2,1678.1,3,0,2,77,7,62,259,800.9,0.379,5802,2,1.5,37.67,4.56
HT0311,Cap-Haïtien,Nord,0.7,1.3,0.4,1.5,554,287,51.8,1.19,50.05,0.2,11.108,114.2,1746.9,23,0,82,42,6.61,63,194,1366.1,0.287,56550,1,3.57,1.93,1.19
HT0312,Quartier Morin,Nord,3.0,3.2,4.3,6.5,62,103,166.1,1.13,24.54,10.9,2.109,140.2,1735.0,8,0,31,43,6.61,62,194,1893.7,0.019,13483,1,3.88,1.66,1.13
HT0313,Limonade,Nord,1.6,1.8,0.5,1.7,59,100,169.5,1.16,36.02,4.59,1.062,73.7,1727.5,7,0,11,43,6.61,62,194,1258.9,0.874,13977,0,1.57,1.69,1.16
HT0321,Acul du Nord,Nord,1.5,1.5,0.9,1.1,90,9,10.0,1.5,65.36,1.08,0.46,78.4,1576.2,8,0,11,39,6.61,65,194,1623.3,0.122,14395,1,1.38,10.0,1.5
HT0322,Plaine du Nord,Nord,0.6,1.0,1.0,6.8,120,43,35.8,1.12,52.75,3.58,1.277,234.4,1669.0,16,0,14,39,6.61,65,194,1654.2,0.117,16489,0,1.14,2.79,1.12
HT0323,Milot,Nord,1.9,1.9,3.3,5.6,73,9,12.3,1.13,39.46,4.98,1.078,96.3,1668.8,5,0,6,42,6.61,64,194,1801.3,0.0,10335,1,1.2,8.11,1.13
HT0331,Grande Rivière Du Nord,Nord,1.2,1.2,1.2,1.4,58,4,6.9,1.14,71.27,0.22,0.379,71.4,1622.6,4,0,6,43,6.61,62,185,1402.1,0.0,6530,1,1.5,14.5,1.14
HT0332,Bahon,Nord,3.1,3.1,1.5,3.5,31,21,67.7,1.13,43.93,0.02,0.393,131.5,1681.5,2,0,2,39,6.61,59,185,1193.8,0.0,3210,0,1.0,1.48,1.13
HT0341,Saint-Raphaël,Nord,0.9,1.0,0.5,1.2,86,30,34.9,1.18,10.89,6.43,0.543,140.9,1737.4,2,0,5,59,6.61,59,185,1007.1,0.0,11007,0,2.5,2.87,1.18
HT0342,Dondon,Nord,2.1,2.1,2.1,1.4,45,4,8.9,1.1,51.13,0.15,0.314,102.2,1600.5,2,0,2,41,6.61,61,185,1268.8,0.0,5176,1,1.0,11.25,1.1
HT0343,Ranquitte,Nord,0.9,2.4,0.5,1.2,24,19,79.2,1.16,24.45,0.09,0.418,185.7,1713.3,2,0,8,36,6.19,58,213,1302.5,0.0,3352,1,4.0,1.26,1.16
HT0344,Pignon,Nord,5.2,5.4,0.9,5.1,75,33,44.0,1.11,7.67,0.29,0.705,176.5,1757.2,2,0,6,59,6.19,58,213,1189.6,0.0,10242,0,3.0,2.27,1.11
HT0345,La Victoire,Nord,0.5,0.5,0.3,0.5,21,13,61.9,1.04,6.66,0.76,0.593,196.9,1712.9,2,0,2,35,6.19,58,213,1351.9,0.0,1451,0,1.0,1.62,1.04
HT0351,Borgne,Nord,0.2,0.2,0.3,0.6,96,30,31.2,1.8,89.18,0.01,0.183,73.1,1566.2,3,0,7,35,6.61,63,194,1279.6,0.114,6152,1,2.33,3.2,1.8
HT0352,Port-Margot,Nord,0.7,0.7,2.3,2.3,63,7,11.1,1.22,80.73,0.63,0.282,66.3,1575.3,7,0,11,36,6.61,66,194,1658.7,0.229,6345,1,1.57,9.0,1.22
HT0361,Limbé,Nord,1.0,1.0,1.2,1.9,76,13,17.1,1.23,72.53,0.45,0.593,107.1,1576.2,6,0,5,39,6.61,64,185,1568.9,0.0,11146,1,1.2,5.85,1.23
HT0362,Bas Limbé,Nord,2.0,2.0,2.1,10.0,32,2,6.2,1.14,65.12,4.02,0.727,141.5,1686.6,2,0,2,37,6.61,64,194,1852.6,0.066,6068,1,1.0,16.0,1.14
HT0371,Plaisance,Nord,1.8,1.8,13.2,1.4,73,,,1.46,77.38,0.01,0.317,117.7,1621.2,7,0,8,34,6.61,62,185,1173.9,0.0,7013,1,1.14,,1.46
HT0372,Pilate,Nord,2.4,2.4,2.3,2.5,63,3,4.8,1.41,80.51,0.0,0.3,163.8,1620.1,2,0,2,34,6.61,64,185,1197.5,0.0,6247,1,1.0,21.0,1.41
HT0411,Fort-Liberté,Nord-Est,1.1,1.3,0.4,1.7,79,59,74.7,1.53,50.15,1.22,0.526,65.8,1679.2,4,0,16,47,6.61,66,213,1485.0,0.072,10309,1,4.0,1.34,1.53
HT0412,Ferrier,Nord-Est,1.2,1.2,0.6,14.4,20,40,200.0,1.52,26.94,8.76,0.633,39.6,1746.2,3,0,4,50,6.61,62,213,1045.5,2.319,2815,0,1.33,2.0,1.52
HT0413,Perches,Nord-Est,1.0,1.0,8.4,1.6,14,,,1.27,57.64,0.09,0.343,131.8,1602.7,2,0,2,38,6.61,61,213,1448.7,0.0,1800,1,1.0,,1.27
HT0421,Ouanaminthe,Nord-Est,0.6,1.5,0.6,2.0,140,94,67.1,1.38,53.82,2.69,1.382,285.8,1662.8,8,0,51,54,6.61,64,213,1684.0,0.0,32353,1,6.38,1.49,1.38
HT0422,Capotille,Nord-Est,0.9,0.9,21.1,1.5,15,11,73.3,2.22,39.97,0.85,0.619,270.4,1653.2,2,0,3,56,5.79,62,213,1978.8,0.0,4084,0,1.5,1.36,2.22
HT0423,Mont-Organisé,Nord-Est,3.9,3.9,32.6,8.5,22,,,1.29,32.72,0.38,0.403,338.3,1683.9,1,0,3,48,5.6,61,213,1730.0,0.0,3189,1,3.0,,1.29
HT0431,Trou du Nord,Nord-Est,0.7,1.8,0.6,1.7,78,63,80.8,1.25,61.96,1.36,0.848,139.2,1623.8,4,0,29,38,6.61,64,194,1383.6,0.0,12000,1,7.25,1.24,1.25
HT0432,Sainte Suzanne,Nord-Est,0.6,0.6,0.7,1.0,25,7,28.0,1.87,47.03,0.0,0.287,156.6,1662.2,2,0,6,38,6.61,63,185,1535.7,0.0,3634,1,3.0,3.57,1.87
HT0433,Terrier Rouge,Nord-Est,1.3,1.3,0.7,1.4,49,25,51.0,1.24,35.85,0.55,0.544,65.1,1721.7,6,0,4,44,6.61,63,213,1395.0,0.041,6842,0,1.5,1.96,1.24
HT0434,Caracol,Nord-Est,1.1,1.1,0.8,1.9,24,30,125.0,1.25,14.7,1.8,1.036,227.9,1766.7,2,0,9,39,6.61,63,194,1141.6,0.63,4539,1,4.5,1.25,1.25
HT0441,Vallières,Nord-Est,0.5,0.5,26.1,0.8,23,,,2.68,36.4,0.0,0.099,164.4,1659.2,2,0,4,40,6.61,62,213,1533.2,0.0,2354,1,2.0,,2.68
HT0442,Carice,Nord-Est,1.0,1.0,25.0,1.6,24,,,1.27,18.68,0.61,0.578,411.4,1674.1,3,0,4,43,5.2,61,213,1453.1,0.0,3003,1,1.33,,1.27
HT0443,Mombin Crochu,Nord-Est,9.6,9.6,4.2,9.4,41,2,4.9,1.29,16.42,0.07,0.221,224.9,1705.0,2,0,1,47,6.19,62,213,1358.4,0.0,4674,1,2.0,20.5,1.29
HT0511,Gonaïves,Artibonite,0.9,1.6,0.6,2.3,533,255,47.8,1.07,19.7,3.94,1.959,47.2,1754.4,16,0,83,74,7,63,185,701.5,0.172,82493,1,5.19,2.09,1.07
HT0512,Ennery,Artibonite,1.7,1.7,9.6,5.7,68,2,2.9,1.14,27.89,0.01,0.388,116.0,1673.2,7,0,5,46,6.61,58,185,914.4,0.0,6720,1,1.4,34.0,1.14
