atmart_geo_id,pcode_commune,nom_commune,periode,annee_reference,sexe,tranche_age,borne_min,borne_max,rang_tranche,effectif,part_population,statut_valeur,niveau_qualite,source,date_source,date_extraction,version
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,55-59,55,59,12,32680,3.53,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,60-64,60,64,13,22139,2.39,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,65-69,65,69,14,15822,1.71,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,70-74,70,74,15,6693,0.72,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,75-79,75,79,16,3481,0.38,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,80 et plus,80,,17,1592,0.17,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,0-4,0,4,1,19539,4.48,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,5-9,5,9,2,21377,4.91,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,10-14,10,14,3,21830,5.01,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,15-19,15,19,4,22635,5.19,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,20-24,20,24,5,23152,5.31,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,25-29,25,29,6,19551,4.49,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,30-34,30,34,7,20265,4.65,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,35-39,35,39,8,18523,4.25,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,40-44,40,44,9,17128,3.93,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,45-49,45,49,10,13978,3.21,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,50-54,50,54,11,9572,2.2,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,55-59,55,59,12,6661,1.53,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,60-64,60,64,13,4788,1.1,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,65-69,65,69,14,3469,0.8,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,70-74,70,74,15,1859,0.43,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,75-79,75,79,16,1016,0.23,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0112,HT0112,Delmas,HT-A-2024,2024,F,80 et plus,80,,17,773,0.18,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
