indicateur_id,libelle,unite,sens,iso3,pays,valeur,annee,rang_mondial_haiti,pays_compares,mediane_mondiale,source_id,date_extraction
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,BRB,Barbados,98.09,2024,198,214,93.66,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,KNA,St. Kitts and Nevis,94.95,2017,198,214,93.66,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,CUB,Cuba,94.77,2024,198,214,93.66,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,TTO,Trinidad and Tobago,94.18,2024,198,214,93.66,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,BHS,Bahamas  The,93.71,2019,198,214,93.66,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,GRD,Grenada,92.62,2024,198,214,93.66,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,JAM,Jamaica,91.63,2024,198,214,93.66,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,GUY,Guyana,91.31,2024,198,214,93.66,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,DOM,Dominican Republic,90.12,2024,198,214,93.66,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,SUR,Suriname,90.0,2024,198,214,93.66,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,VCT,St. Vincent and the Grenadines,89.7,2018,198,214,93.66,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,BLZ,Belize,84.3,2024,198,214,93.66,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,LCA,St. Lucia,83.36,2022,198,214,93.66,SRC-015,2026-09-04
SH.STA.BASS.ZS,Accès à un assainissement de base,% de la population,haut,DMA,Dominica,80.37,2017,198,214,93.66,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,HTI,Haïti,47.86,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,BHS,Bahamas  The,92.47,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,DOM,Dominican Republic,91.0,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,JAM,Jamaica,90.11,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,SUR,Suriname,87.4,2023,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,GUY,Guyana,83.0,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,TTO,Trinidad and Tobago,82.16,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,DMA,Dominica,82.05,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,BLZ,Belize,80.01,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,KNA,St. Kitts and Nevis,76.88,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,VCT,St. Vincent and the Grenadines,76.19,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,ATG,Antigua and Barbuda,72.73,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,CUB,Cuba,70.48,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,BRB,Barbados,70.36,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,GRD,Grenada,70.16,2024,162,208,81.58,SRC-015,2026-09-04
IT.NET.USER.ZS,Personnes utilisant Internet,% de la population,haut,LCA,St. Lucia,68.21,2024,162,208,81.58,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,HTI,Haïti,2694.19,2025,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,BHS,Bahamas  The,39455.45,2024,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,GUY,Guyana,32413.79,2025,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,BRB,Barbados,28364.82,2025,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,KNA,St. Kitts and Nevis,25223.03,2025,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,ATG,Antigua and Barbuda,24819.25,2025,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,TTO,Trinidad and Tobago,18967.27,2025,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,LCA,St. Lucia,14745.82,2025,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,VCT,St. Vincent and the Grenadines,12561.77,2025,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,GRD,Grenada,12106.88,2025,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,DOM,Dominican Republic,11059.21,2025,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,DMA,Dominica,10989.04,2025,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,CUB,Cuba,9605.28,2020,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,JAM,Jamaica,8002.92,2025,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,BLZ,Belize,7865.48,2025,168,213,9605.28,SRC-015,2026-09-04
NY.GDP.PCAP.CD,PIB par habitant,$ courants,haut,SUR,Suriname,7069.87,2025,168,213,9605.28,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,HTI,Haïti,16.95,2024,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,BHS,Bahamas  The,0.42,2024,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,TTO,Trinidad and Tobago,0.77,2025,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,ATG,Antigua and Barbuda,0.94,2025,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,BRB,Barbados,1.46,2017,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,LCA,St. Lucia,2.35,2025,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,GUY,Guyana,3.22,2023,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,GRD,Grenada,3.35,2025,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,KNA,St. Kitts and Nevis,3.36,2025,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,BLZ,Belize,3.72,2025,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,SUR,Suriname,3.89,2025,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,DMA,Dominica,5.48,2025,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,VCT,St. Vincent and the Grenadines,7.04,2025,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,DOM,Dominican Republic,9.74,2025,,187,2.31,SRC-015,2026-09-04
BX.TRF.PWKR.DT.GD.ZS,Transferts des migrants reçus,% du PIB,neutre,JAM,Jamaica,16.19,2024,,187,2.31,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,HTI,Haïti,12.26,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,SUR,Suriname,94.45,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,GUY,Guyana,87.09,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,VCT,St. Vincent and the Grenadines,73.18,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,DMA,Dominica,63.83,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,JAM,Jamaica,56.19,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,BLZ,Belize,54.52,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,GRD,Grenada,52.06,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,BHS,Bahamas  The,50.94,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,DOM,Dominican Republic,44.99,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,TTO,Trinidad and Tobago,44.24,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,KNA,St. Kitts and Nevis,42.31,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,LCA,St. Lucia,34.05,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,CUB,Cuba,31.23,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,ATG,Antigua and Barbuda,18.01,2023,151,214,31.08,SRC-015,2026-09-04
AG.LND.FRST.ZS,Surface forestière,% du territoire,haut,BRB,Barbados,14.65,2023,151,214,31.08,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,HTI,Haïti,28.64,2025,182,190,3.06,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,BHS,Bahamas  The,0.41,2024,182,190,3.06,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,GRD,Grenada,0.61,2025,182,190,3.06,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,VCT,St. Vincent and the Grenadines,0.82,2025,182,190,3.06,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,BRB,Barbados,0.85,2025,182,190,3.06,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,TTO,Trinidad and Tobago,0.99,2025,182,190,3.06,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,BLZ,Belize,1.06,2025,182,190,3.06,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,ATG,Antigua and Barbuda,1.37,2025,182,190,3.06,SRC-015,2026-09-04
FP.CPI.TOTL.ZG,Inflation  prix à la consommation,% par an,bas,LCA,St. Lucia,2.03,2025,182,190,3.06,SRC-015,2026-09-04
