banque,est_un_agregat,trimestre,date_reference,section,indicateur,nature,periode_libelle,valeur,provisoire,fichier_source,source_id,source,licence,attribution,date_extraction
Banque Nationale de Crédit,non,2013-T4,2013-12-31,Qualité de l'actif,Prêts improductifs nets en % de l'avoir des actionnaires,état à une date,Au 31 décembre 2013,0.13674048,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Banque Populaire Haïtienne,non,2013-T4,2013-12-31,Qualité de l'actif,Prêts improductifs nets en % de l'avoir des actionnaires,état à une date,Au 31 décembre 2013,0.22116966,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Banque de l'Union Haïtienne,non,2013-T4,2013-12-31,Qualité de l'actif,Prêts improductifs nets en % de l'avoir des actionnaires,état à une date,Au 31 décembre 2013,0.54821288,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Capital Bank,non,2013-T4,2013-12-31,Qualité de l'actif,Prêts improductifs nets en % de l'avoir des actionnaires,état à une date,Au 31 décembre 2013,-0.00447491,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Citibank N.A. (succursale d'Haïti),non,2013-T4,2013-12-31,Qualité de l'actif,Prêts improductifs nets en % de l'avoir des actionnaires,état à une date,Au 31 décembre 2013,-0.03579554,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Ensemble du système,oui,2013-T4,2013-12-31,Qualité de l'actif,Prêts improductifs nets en % de l'avoir des actionnaires,état à une date,Au 31 décembre 2013,0.1174602,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Scotiabank,non,2013-T4,2013-12-31,Qualité de l'actif,Prêts improductifs nets en % de l'avoir des actionnaires,état à une date,Au 31 décembre 2013,0.46648908,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Sogebank,non,2013-T4,2013-12-31,Qualité de l'actif,Prêts improductifs nets en % de l'avoir des actionnaires,état à une date,Au 31 décembre 2013,0.22406081,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Sogebel,non,2013-T4,2013-12-31,Qualité de l'actif,Prêts improductifs nets en % de l'avoir des actionnaires,état à une date,Au 31 décembre 2013,0.49650431,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
Sous-total (banques commerciales),oui,2013-T4,2013-12-31,Qualité de l'actif,Prêts improductifs nets en % de l'avoir des actionnaires,état à une date,Au 31 décembre 2013,0.0998243,non,brh_rapport_statistique_trim1_2026.xlsx,SRC-062,BRH — rapports statistiques de la supervision bancaire,"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, Direction de la supervision des banques et des institutions financières, rapports statistiques trimestriels",2026-08-25
