categorie,type_organisation,acronyme,nom,secteur,departement,pcode_departement,commune,pcode_commune,methode_rattachement,source_id,source,millesime,date_extraction,statut_valeur,niveau_qualite,version
Organisations humanitaires et de développement,ONG internationale,Plan-I,Plan International,Education,Sud-Est,HT02,Marigot,HT0212,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,WVI,World Vision International,Education,Nord,HT03,Limonade,HT0313,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG nationale,APADEH,Action Pastorale pour le Developpement Humain,Education,Ouest,HT01,Port-au-Prince,HT0111,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG nationale,OCCED'H,Organisation des Cœurs pour le Changement des Enfants Démunis d’Haïti,Education,Ouest,HT01,Delmas,HT0112,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,Nations unies,UNICEF,Fonds des Nations unies pour l'enfance,Education,Nord,HT03,Cap-Haïtien,HT0311,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,Nations unies,UNICEF,Fonds des Nations unies pour l'enfance,Education,Centre,HT06,Hinche,HT0611,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,ACF,Action Contre la Faim,Nutrition,Ouest,HT01,Cité Soleil,HT0117,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,ACF,Action Contre la Faim,Nutrition,Ouest,HT01,Port-au-Prince,HT0111,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG nationale,APADEH,Action Pastorale pour le Developpement Humain,Nutrition,Ouest,HT01,Croix-Des-Bouquets,HT0131,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG nationale,APADEH,Action Pastorale pour le Developpement Humain,Nutrition,Ouest,HT01,Fonds-Verrettes,HT0135,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG nationale,ABV,Aide aux Bénéficiaires Vulnérables,Nutrition,Ouest,HT01,Delmas,HT0112,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,AVSI,Association des Volontaires pour le Service International,Nutrition,Nord-Ouest,HT09,Jean Rabel,HT0934,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
Organisations humanitaires et de développement,ONG internationale,AVSI,Association des Volontaires pour le Service International,Nutrition,Ouest,HT01,Cité Soleil,HT0117,p-code officiel de la table Admin du fichier OCHA,SRC-026,"OCHA Haïti — 3W présence opérationnelle, juin 2026 (CC BY)",juin 2026,2026-08-14,O,B,v1.2026.08
