pcode_commune,nom_commune,operateur,genre,unite,valeur,source_id,millesime,licence
HT0713,Chantal,opérateur non précisé,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0714,Camp-Perrin,opérateur non précisé,site de communication,nombre,5,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0715,Maniche,opérateur non précisé,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0715,Maniche,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0716,Ile a Vache,Digicel,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0716,Ile a Vache,Digicel,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0716,Ile a Vache,Natcom,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0716,Ile a Vache,opérateur non précisé,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0721,Port-Salut,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0731,Aquin,Digicel,site de communication,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0731,Aquin,Natcom,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0731,Aquin,Natcom,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0731,Aquin,Voilà,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0731,Aquin,opérateur non précisé,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0731,Aquin,opérateur non précisé,site de communication,nombre,8,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0732,Saint Louis du Sud,Digicel,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0732,Saint Louis du Sud,Natcom,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0732,Saint Louis du Sud,opérateur non précisé,bureau d'opérateur,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0732,Saint Louis du Sud,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0733,Cavaillon,Digicel,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
