date,gourdes_pour_1_dollar,exercice_fichier,source_id,attribution
1994-03-01,13.8959,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-02,13.9171,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-03,13.9413,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-04,13.9253,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-07,13.9097,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-08,13.9481,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-09,13.9449,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-10,13.9714,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-11,14.0417,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-14,14.0173,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-15,14.0707,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-16,14.1264,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-17,14.1758,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-18,14.1107,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-21,14.1261,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-22,14.1531,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-23,14.1827,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-24,14.2108,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-25,14.2014,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-28,14.1837,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-29,14.2172,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-30,14.2085,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-03-31,14.2177,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-04,14.1833,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-05,14.2083,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-06,14.2223,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-07,14.2018,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-08,14.2066,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-11,14.2218,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-12,14.2863,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-13,14.286,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-14,14.369,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-15,14.4444,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-18,14.4503,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-19,14.7092,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-20,14.7586,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-21,14.7429,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-22,14.7302,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-25,14.8035,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-26,14.7646,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-27,14.8146,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-28,14.8562,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-04-29,14.9482,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-02,14.8792,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-03,14.9274,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-04,14.9865,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-05,15.0427,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-06,15.0452,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-09,15.0883,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-10,15.1169,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-11,15.1604,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-13,15.2103,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-16,15.1845,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-17,14.8986,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-19,14.959,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-20,14.9467,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-23,14.7969,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-24,14.6205,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-25,14.7509,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-26,14.8229,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-27,14.9893,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-30,14.96,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-05-31,14.8599,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-01,14.8632,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-03,14.9791,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-06,14.8894,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-07,15.0075,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-08,15.1015,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-09,15.1859,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-10,15.224,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-13,15.185,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-14,15.0774,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-15,15.0793,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-16,15.0164,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-17,14.917,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-20,14.8494,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-21,14.963,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-22,14.9098,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-23,14.9174,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-24,14.545,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-27,14.5451,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-28,14.0433,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-29,14.3818,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-06-30,14.6436,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-07-01,14.8523,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-07-04,14.8734,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-07-05,14.9487,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-07-06,15.0072,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-07-07,15.0448,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-07-08,14.9385,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-07-11,14.9816,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-07-12,15.0334,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-07-13,15.0156,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-07-14,15.2224,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
1994-07-15,15.3953,9394.pdf,SRC-007,"BRH — Banque de la République d'Haïti, taux de référence calculé à l'achat"
